DATE_NUM,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT,
736327.000000,1.017974,1.011324,1.019441,1.008895,1.016844,1.009850,0.998415,1.010516,1.007688,1.015769,1.014600,1.007847,1.010395,1.005058,1.011116,1.011044,1.009463,1.010724,1.007052,1.005506,1.013570,1.012592,1.008659,1.009840,1.014156,
736328.000000,0.986941,0.994472,0.993620,0.992774,0.991358,0.987288,0.993089,0.991718,0.997382,0.996852,0.987303,0.997597,0.992843,0.996797,0.994670,0.993590,0.998313,0.995756,0.984283,0.996391,0.993653,0.992489,0.989143,0.990680,1.001136,
736329.000000,0.980805,0.991305,0.987569,0.989372,0.986560,0.998557,0.988151,0.990220,0.991751,0.987656,0.984567,0.989786,0.991590,0.986000,0.989199,0.991640,0.991925,0.985260,0.988142,0.991757,0.987488,0.989237,0.989789,0.988240,0.993839,
736333.000000,1.000855,0.971819,0.971713,1.000441,0.979963,0.987661,0.980015,0.982855,0.991078,0.987865,0.986647,0.978193,0.969965,0.986965,0.995260,0.974641,0.993563,0.987743,0.984320,0.986903,0.974393,0.989969,0.976144,0.992427,1.002610,
736334.000000,0.974941,0.984613,1.004057,0.989557,0.995456,1.008554,0.979802,0.982782,0.995117,0.999265,0.995293,1.004180,1.001729,1.003537,1.013778,1.004359,1.012767,1.004562,1.013979,1.003190,1.004547,1.001889,1.007530,1.013735,1.023755,
736335.000000,0.980430,0.972230,0.984121,0.984245,0.989350,0.960496,0.994648,0.975587,0.989650,0.994994,0.977830,0.994945,0.985564,0.994594,0.993289,0.979859,0.986266,0.981835,0.985733,0.990333,0.987055,0.989801,0.986889,0.990966,1.010013,
736336.000000,0.957795,0.990997,0.958078,0.965569,0.976932,0.964564,0.991431,0.969265,0.971491,0.982911,0.962515,0.988345,0.959561,0.983460,0.976858,0.975638,0.991225,0.965217,0.973329,0.991266,0.976155,0.970560,0.980337,0.994508,1.023289,
736337.000000,1.005288,0.996711,0.977295,0.989834,0.975206,0.989280,0.997487,0.995869,0.988038,0.990742,0.989636,0.989317,0.977601,0.997357,0.998444,0.996595,0.983064,1.003067,0.983626,0.984323,0.995772,0.982782,0.987668,0.990281,0.977087,
736340.000000,1.016192,1.006601,1.001693,0.971243,1.019774,0.983441,1.006751,1.010919,1.015173,1.012155,1.017455,0.993989,0.998473,1.001686,1.010478,0.999787,1.003328,0.999427,1.011551,1.009214,1.007548,0.994735,1.014270,1.005800,1.010702,
736341.000000,1.014513,1.005464,1.013132,1.002115,1.003166,1.017086,1.015412,0.999879,1.013595,0.997523,1.019339,1.006867,1.002210,1.012987,1.006427,1.002848,1.009951,1.009178,1.006549,0.997913,1.011143,1.024457,1.011363,0.996452,0.990657,
736342.000000,0.974290,0.975932,0.971195,0.988474,0.970414,0.990019,0.970629,0.959447,0.952231,0.986983,0.976438,0.987581,0.972524,0.993590,0.980245,0.984808,0.978748,0.978401,0.980647,0.991373,0.982219,0.973009,0.977796,0.982640,0.973279,
736343.000000,1.021871,1.007001,1.008430,1.022664,1.002439,1.050903,1.006397,1.015095,0.985338,1.013265,1.026011,1.019275,1.014998,1.000717,1.013030,1.017733,1.022503,1.028466,0.995407,1.003955,1.008674,1.014007,1.009576,1.016308,1.018411,
736344.000000,0.975985,0.993996,0.972368,0.973496,0.957826,0.978940,0.947432,0.964186,0.996740,0.978331,0.908980,0.980888,0.980069,0.990927,0.987652,0.982363,0.987259,0.960083,0.983764,0.984636,0.982426,0.986547,0.973306,0.990194,0.982081,
736348.000000,0.995161,0.995708,1.003423,0.998815,1.009738,0.974184,1.000745,1.007776,1.004445,0.985234,1.001344,1.005155,0.999474,1.010120,1.020142,0.997837,1.003910,0.991567,1.013203,1.023340,1.006280,1.030292,0.993875,1.009903,1.010173,
736349.000000,1.001345,1.006226,0.968904,0.996273,0.960168,0.968961,0.984782,0.980424,0.972445,0.951214,0.992953,0.982051,0.973689,0.987118,0.985362,0.989667,0.984612,1.004549,1.012346,0.996884,0.980049,1.019631,0.990055,0.989971,0.972506,
736350.000000,0.994937,0.993813,1.010316,1.014964,1.000000,1.026209,1.015993,0.986341,1.032286,1.008617,1.002366,1.001984,0.995316,1.000242,1.017792,1.005841,1.007320,0.993896,1.025745,1.011737,0.990835,0.988762,1.012451,1.032643,1.017094,
736351.000000,1.053167,0.878991,1.009805,1.021611,1.020524,1.030722,1.030632,1.034355,1.021128,0.996664,1.009103,1.008443,1.030769,1.016188,1.004752,1.012776,1.008444,1.035856,1.005284,1.008342,1.004284,1.007313,1.015931,1.025507,1.013090,
736354.000000,0.980477,0.999273,0.995185,0.949656,0.991442,0.968278,0.983385,0.963407,0.991447,0.996571,0.988974,0.996383,0.977349,1.002377,1.006757,0.986024,0.991626,0.990438,0.997043,0.993407,0.989723,0.991691,0.986795,0.999787,1.012123,
736355.000000,1.005531,1.001272,1.032255,1.021585,1.023738,1.039931,1.010284,1.022036,1.004026,1.004178,1.011487,1.049585,1.025512,0.998103,1.010319,1.052409,1.010409,1.007338,1.006755,1.025504,1.011462,1.005116,1.001952,1.025941,1.008668,
736356.000000,0.934293,0.989653,0.910710,0.985801,0.987774,0.990133,0.979745,0.995273,0.994845,0.986703,0.995658,1.009686,0.999299,1.000238,1.003654,1.005319,0.979009,0.981790,0.974963,0.999873,1.000581,0.985697,0.986505,1.016166,0.999219,
736357.000000,1.007172,0.969919,1.012267,1.047325,0.986343,1.031576,0.991624,1.021728,1.005840,1.010417,1.005367,1.001077,1.004207,1.011404,1.012493,1.012161,0.976772,1.016400,1.027190,1.012944,1.011228,0.991543,0.977719,0.999592,1.004222,
736358.000000,1.034541,1.011725,1.017964,1.018992,1.029424,1.006401,1.024484,1.028652,1.028460,1.021028,1.035035,1.021219,1.038757,1.008222,1.011440,1.024980,1.029878,1.058202,1.013235,1.023428,1.024600,1.033938,1.074427,1.019588,1.033323,
736361.000000,0.990651,1.022430,1.011904,1.007391,0.986969,0.986354,0.993008,0.988177,1.005964,1.000321,0.993552,0.999330,0.989244,1.001864,1.006705,0.984967,1.001579,0.993102,1.018545,0.993023,0.999720,1.006339,0.998523,1.015809,1.017179,
736362.000000,0.979778,0.980987,0.966765,0.967624,0.972317,0.952515,0.978665,0.950204,0.990198,0.984859,0.966905,0.990802,0.968909,0.986977,0.994704,0.994218,0.993300,0.968744,0.990342,0.988905,0.990842,0.982656,0.986825,0.983254,0.990519,
736363.000000,1.019792,1.008386,1.037015,1.042855,1.011826,1.041606,1.021692,1.006460,0.988186,1.014479,0.993229,1.007059,1.006663,1.006598,0.979992,1.031447,0.992859,0.984151,0.999041,1.010970,1.008111,0.990077,1.013351,1.014226,0.991175,
736364.000000,1.008035,1.004990,1.014278,1.042516,1.019048,1.002009,1.003048,1.024954,0.978351,1.023492,1.014656,0.997696,1.017244,0.995552,0.993332,1.006032,0.970829,0.996933,0.962874,0.995068,1.005613,1.012860,0.990589,0.996247,1.002263,
736365.000000,0.973292,0.992644,0.991505,1.002426,0.972387,0.977474,0.983967,0.999872,0.961357,1.007207,0.975479,0.967661,0.988870,0.997884,0.956407,1.000196,1.016259,0.964615,0.950141,1.006196,0.988836,0.978284,0.970955,1.010708,1.008733,
736368.000000,1.010530,0.970730,0.974788,0.976709,1.001748,1.037524,0.981044,0.953856,0.960663,0.997721,0.992424,1.014522,0.979048,1.004948,1.005632,1.002802,0.988862,0.985048,0.962743,1.017488,0.993508,0.984783,0.947302,0.995488,0.998507,
736369.000000,0.999790,1.004389,0.995062,0.989935,0.987789,0.964298,1.002171,0.993300,1.017971,0.977083,0.999653,0.999706,0.993986,1.015241,1.008272,1.005458,1.006758,0.997369,1.011628,1.000242,1.003030,1.010362,1.008263,0.988372,0.983707,
736370.000000,0.992420,0.993540,0.987860,0.972001,0.993819,1.001447,0.962413,0.993120,1.004128,0.968727,0.979868,0.997646,0.987900,0.982679,1.004530,0.992319,1.007526,1.008726,1.031071,0.987657,0.998112,1.014214,1.028743,0.996610,0.999696,
736371.000000,0.993954,0.977433,0.931936,0.988252,1.096401,0.999398,1.016432,0.955580,0.990728,0.980531,0.999646,0.999705,0.955872,0.996710,0.993109,0.988324,0.986271,0.999598,0.975440,0.978927,0.981555,0.981196,0.976051,0.988195,0.992856,
736372.000000,1.003095,1.030327,1.001752,1.028334,1.017423,1.029401,1.009301,1.038667,1.026927,1.027068,1.014883,1.001180,1.083286,1.016505,1.010280,1.021836,1.003685,1.016301,1.007500,1.013642,1.035849,1.010848,1.028480,1.014578,1.013166,
736376.000000,1.028194,1.009875,1.036546,1.032621,1.029072,1.005334,1.019309,1.019777,1.026737,1.014045,1.004888,1.004911,1.014959,1.005799,1.010599,1.010198,1.015297,1.018947,1.024282,1.005927,0.998884,1.029780,1.009656,1.002594,0.995769,
736377.000000,1.015315,1.008086,1.033215,1.031437,1.023994,1.041269,1.027876,1.012884,1.014904,1.027375,1.023975,1.001759,1.007198,1.002998,0.995469,1.007008,1.016472,1.026032,1.006575,1.012029,1.016857,1.027356,1.015079,1.001592,1.003187,
736378.000000,0.981043,1.010073,1.010572,0.983051,0.998866,0.982109,0.996544,0.978733,0.989770,1.050357,0.998303,1.016976,0.983665,1.002759,0.987609,1.001022,0.994466,0.995612,1.007392,0.994299,0.996978,0.992815,0.989033,1.012321,0.969899,
736379.000000,0.997715,1.010341,0.979502,0.989413,1.004540,0.997348,0.998319,0.994449,1.014337,1.004756,0.975867,1.006474,1.000173,1.003669,0.994538,0.997895,0.996026,0.992910,1.012116,0.997682,0.993018,1.001958,1.004071,0.998430,1.008422,
736382.000000,1.008746,1.016816,1.019364,1.028890,1.003013,1.026821,1.014314,1.012797,1.009532,1.005185,1.022292,1.005664,1.012971,1.003884,1.009783,1.007990,1.012969,1.016017,1.014500,1.004157,1.011657,1.030506,1.021389,1.004129,1.015002,
736383.000000,0.977395,0.990653,0.995826,0.977269,0.980849,0.955979,0.989727,0.973923,1.013675,0.989758,0.981260,0.993604,0.958170,0.994310,0.993456,0.990298,0.995470,0.972080,1.000665,0.996104,0.986831,0.999011,0.987545,0.991384,1.012951,
736384.000000,1.014891,0.991472,0.988794,1.001520,1.007657,1.004239,1.000524,1.004485,1.008673,1.003021,1.013542,1.008455,1.000356,1.005035,1.001369,1.006723,1.000396,1.003517,1.003155,0.996944,1.005282,0.992159,0.995842,1.003753,1.009627,
736385.000000,1.006868,1.013726,1.010641,1.008956,1.010638,1.000352,1.002305,1.018480,1.009951,1.012801,1.014731,1.013529,1.015497,1.005694,1.011191,1.011258,1.008702,1.014408,1.032782,1.009564,1.007282,1.008319,1.019763,1.005706,1.013707,
